StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
102,0,196102,1.18,23.4,0.21,-0.93,0.64,-0.47,0,1091,0.42,-1.12,-1.51,-1.04,-0.77,-0.25,0.66,13.1,33.7
101,0,196102,3.43,24.6,0.45,-0.82,1.36,0,0,993,0.83,-0.15,-0.67,-0.62,-0.72,-0.71,0.04,13.8,35.4
103,0,196102,3.38,37.3,0.28,-1.61,0.84,-1.17,0,819,0.76,-0.56,-1.03,-1.25,-1.04,-1.38,-1.27,27,47.6
108,0,196102,6.59,36.5,1.35,1.35,4.06,1.35,0,654,1.93,0.89,-0.13,0.22,0.01,0.6,0.01,29.9,43.1
106,0,196102,3.28,47.1,2.39,2.39,1.94,2.39,11,420,1.19,0.73,1.23,0.67,1.06,0.22,0.66,35,59.3
105,0,196102,0.88,27.4,-2.64,-2.64,-0.77,-2.64,0,1034,0.43,-1.46,-1.54,-1.86,-1.71,-1.5,-1.31,16.4,38.4
109,0,196102,1.52,43.1,-3.07,-3.07,-1.85,-3.07,0,426,-0.61,-1.09,-1.36,-0.75,-0.96,-1.04,-1.72,32.2,54.1
104,0,196102,6.58,50.5,1.67,1.67,3.21,1.35,36,399,1.8,0.92,0.06,0.17,0.12,0.15,1.41,39.2,61.8
107,0,196102,0.45,37.4,-2.36,-2.36,-1.97,-2.36,3,685,-1.22,-1.52,-1.14,-0.36,-0.94,-1.33,-0.75,23.8,51
103,0,196103,5.19,45.1,0.8,-0.9,1.66,0.34,4,675,1.04,1.2,0.24,-0.51,-0.9,-0.86,-0.91,35.6,54.5
102,0,196103,2.54,32.5,0.85,0.85,1.99,0.85,0,946,1.27,1.23,0.17,-0.71,-0.39,0.21,0.83,23.9,41.2
106,0,196103,4.05,54.9,2.77,2.77,1.88,2.77,56,260,1.41,1.7,1.23,1.32,1.47,0.71,1.01,42.8,67
104,0,196103,4.95,57.2,1.47,1.47,-0.09,1.06,69,273,0.28,1.33,0.8,-0.27,0.39,0.1,1.16,45.2,69.1
107,0,196103,1.58,41.6,-1.86,-1.86,0.78,-1.45,8,650,0.93,0.03,-0.45,0.22,-0.59,-0.89,-0.46,28.7,54.5
105,0,196103,1.09,34.5,-3.15,-3.15,-2.35,-3.15,0,921,-0.17,0.08,-1.36,-1.68,-1.68,-1.42,-1.24,23.7,45.2
108,0,196103,4.66,37.5,1.83,1.83,1.84,1.83,0,693,1.12,1.95,1.28,0.7,0.58,0.63,0.26,28.8,46.2
109,0,196103,2.23,44.6,-2.8,-2.8,-0.14,-2.79,1,467,0.15,-0.42,-0.84,-0.6,-0.73,-0.93,-1.44,33.4,55.7
101,0,196103,3.29,32.6,0.41,-0.73,0.03,0.14,0,865,-0.09,0.47,-0.18,-1.24,-0.77,-0.41,0.02,22.9,42.4
107,0,196104,0.77,49.1,-1.82,-1.82,-0.47,-1.56,40,435,-0.37,0.38,-0.24,-0.65,-0.65,-0.81,-0.51,34.2,64
109,0,196104,0.69,51.8,-2.93,-2.93,-1.26,-2.93,13,288,-0.78,-0.25,-0.69,-0.63,-0.87,-1.01,-1.38,37.7,65.8
103,0,196104,4.41,48.2,1.28,1.28,1.68,1.28,0,555,0.5,0.98,1.12,-0.28,-0.64,-0.53,-0.78,37.8,58.5
106,0,196104,1.61,60,1.94,1.94,-1.64,1.19,57,138,-1.72,0.01,0.51,0.34,0.83,0.62,0.84,46.5,73.5
105,0,196104,1.45,38.8,-3.18,-3.18,-1.07,-3.18,0,727,-0.54,-0.63,-0.48,-1.21,-1.27,-1.61,-1.19,26.7,51
102,0,196104,2.34,39.1,0.98,0.98,0.64,0.98,0,743,-0.2,0.56,0.62,-0.57,-0.28,-0.11,0.87,28.9,49.2
104,0,196104,4.94,57.7,2.09,2.09,2.33,2.09,48,226,0.97,0.77,1.45,0.11,0.46,0.28,1.26,45.4,70.1
108,0,196104,2.06,42.4,1.55,1.55,-0.26,1.35,0,562,-0.39,0.7,1.7,0.69,0.6,0.47,0.31,31.5,53.3
101,0,196104,5.05,41.1,1.48,1.48,3.32,1.48,0,618,1.41,0.94,1.16,-0.26,-0.43,-0.02,0.24,32.3,49.9
107,0,196105,0.74,59,-2.22,-2.22,-1.74,-2.22,99,219,-0.72,-0.8,-0.06,-0.74,-0.28,-0.77,-0.57,43.2,74.7
105,0,196105,2.8,52.1,-2.75,-2.75,0.31,-2.57,15,369,0.26,-0.08,-0.17,-0.79,-1.53,-1.59,-1.27,39.7,64.6
104,0,196105,4.03,67.1,2.14,2.14,0.78,2.14,158,67,0.21,0.78,0.7,0.46,0.44,0.39,1.11,55.2,78.9
102,0,196105,2.59,52.8,-0.23,-0.23,-0.68,0.65,13,372,-0.83,-0.78,-0.2,-0.87,-0.98,-0.78,0.27,39.8,65.8
103,0,196105,5.36,58.7,1.85,1.85,2.1,1.85,28,258,0.75,0.77,1.09,0.24,-0.31,-0.31,-0.66,46.7,70.7
106,0,196105,3.56,69.8,1.51,1.51,-0.66,0.46,231,24,-0.31,-1.25,-0.19,0.57,0.33,0.74,0.74,57.3,82.2
101,0,196105,3.77,52.6,1.48,1.48,0.45,1.48,5,307,0.14,0.96,0.79,0.15,-0.07,-0.27,0.49,41.3,64
108,0,196105,2.56,50.2,1.68,1.68,0.88,1.68,2,372,0.52,0.12,0.81,0.28,0.52,0.31,0.35,38.4,61.9
109,0,196105,0.86,56.8,-2.53,-2.53,0.31,-2.34,22,245,0.11,-0.63,-0.29,-1.31,-0.79,-1,-1.38,43.3,70.3
108,0,196106,0.96,62.6,-0.64,0.87,-1.92,-0.16,48,112,-1.03,-0.25,-0.41,0.88,0.5,0.39,0.28,47.3,77.9
106,0,196106,5.23,75.7,2.3,2.3,2.81,2.3,355,2,1.31,0.69,-0.1,0.66,0.94,1.09,0.93,64.4,86.9
101,0,196106,3.99,63.8,1.46,1.46,0.42,1.46,90,40,0.17,0.18,0.79,0.48,-0.4,-0.25,0.47,52,75.6
104,0,196106,5.99,73.9,2.75,2.75,2.49,2.75,292,5,0.84,0.65,1.05,1.18,0.23,0.72,1.26,63,84.9
109,0,196106,0.31,71,-2.38,-2.38,-0.34,-2.27,161,29,-0.27,-0.18,-0.73,-1.07,-0.77,-0.91,-1.36,55.5,86.6
105,0,196106,1.55,66,-3.89,-3.89,-4.26,-3.89,134,78,-1.75,-0.99,-1.08,-1.42,-1.6,-1.8,-1.56,50.6,81.4
102,0,196106,2.69,65.4,-0.98,-0.98,-2.34,-0.98,98,72,-1.24,-1.48,-1.32,-1.08,-1.39,-1.12,0.19,52.3,78.6
103,0,196106,4.27,69.1,1.9,1.9,0.71,1.9,141,35,0.04,0.48,0.6,0.51,-0.08,-0.47,-0.48,57.3,80.9
107,0,196106,0.72,70.1,-2.65,-2.65,-1.98,-2.65,287,58,-0.36,-0.81,-0.92,-0.9,-0.23,-0.85,-0.61,53.9,86.3
