StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      108,      00,   196507,    .71,   64.5,    .19,    .93,    .14,   -.66,     79,     66,    .28,    .04,   -.42,  -1.57,   1.09,    .76,    .68,   49.4,   79.6,
      107,      00,   196507,   2.43,   72.4,   3.91,   3.91,   3.99,   3.91,    342,     19,   1.01,   1.94,    1.9,   1.42,   1.29,    .67,     .2,   58.6,   86.3,
      109,      00,   196507,    .48,   71.9,   2.38,   2.38,   2.15,   2.38,    182,     14,    .89,     .9,    .05,   -.51,    .64,    .48,   -.22,   56.8,     87,
      104,      00,   196507,   6.54,   77.5,   -.02,   2.09,   1.41,   1.58,    389,      0,    .67,   1.28,    .21,    .53,    .27,    .99,   1.21,   67.3,   87.6,
      103,      00,   196507,   4.17,   73.6,    .11,  -1.67,    .32,  -1.12,    247,      7,    .16,   -.19,   -.78,   -.26,   -.13,   -.57,  -1.25,   62.2,     85,
      101,      00,   196507,   2.64,   66.2,  -5.58,  -5.58,  -2.28,  -5.58,    168,     16,  -1.61,  -2.24,  -2.79,  -2.64,  -2.65,  -3.06,  -2.93,   53.6,   78.7,
      106,      00,   196507,   2.18,   81.8,  -2.16,  -2.16,  -1.31,  -2.16,    548,      0,  -1.09,   -.38,   -.09,   -.32,   -.23,   -.16,  -1.15,   69.6,     94,
      102,      00,   196507,   3.25,   67.5,   1.38,   1.38,    .24,    .97,    136,     37,   -.25,    -.7,   -.07,    .67,    .49,    .35,   -.58,   55.7,   79.3,
      102,      00,   196508,   3.84,   65.8,   1.49,   1.49,    .75,   1.35,    109,     60,    .34,    .05,    -.4,    .63,    .65,    .23,    -.4,   54.4,   77.2,
      103,      00,   196508,      4,   72.4,    .34,  -1.25,    .74,    -.4,    213,     17,    .44,    .39,   -.02,   -.31,      0,   -.47,  -1.21,   60.6,   84.3,
      101,      00,   196508,   4.07,   66.4,   -5.1,   -5.1,    -.3,   -5.1,    160,     18,    .32,   -.82,  -1.53,  -2.51,  -2.11,  -2.66,  -3.07,   55.3,   77.6,
      106,      00,   196508,   2.93,   79.6,  -2.02,  -2.02,   -.23,  -2.02,    495,      1,    .11,   -.73,   -.37,   -.71,   -.47,   -.32,   -.97,   67.2,     92,
      105,      00,   196508,    1.9,   65.4,   3.95,   3.95,   2.73,   3.95,    144,     71,    .37,    .71,   1.09,   1.19,    1.6,    .65,    .67,   51.6,   79.3,
      107,      00,   196508,   1.95,   69.9,   3.89,   3.89,   1.14,   3.89,    288,     44,   -.07,    .64,   1.53,   1.45,   1.26,    .76,   -.13,   55.7,   84.1,
      108,      00,   196508,   2.09,     63,   1.07,   1.74,   2.71,    .92,     65,     76,   1.78,   1.58,   1.15,   -.55,   1.43,    .94,    .85,   50.1,     76,
      109,      00,   196508,   1.05,   71.3,   3.21,   3.21,   3.21,   3.21,    244,      3,   1.87,   1.79,   1.69,    .68,    .62,    .65,   -.08,   57.2,   85.3,
      104,      00,   196508,   4.55,   77.7,   -.17,   1.72,   -.45,   1.02,    402,      0,   -.47,    .04,    .76,    .08,    .23,     .7,   1.33,   66.9,   88.5,
