StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      104,      00,   195006,   3.72,   76.9,  -2.07,  -2.07,  -1.31,  -2.07,    365,      2,   -.95,   -.27,   -.84,  -1.22,  -1.42,   -.74,    .58,   65.4,   88.5,
      102,      00,   195006,   3.99,   64.4,   1.91,   1.91,    .14,   1.91,     92,     79,   -.04,    .05,    .29,    .88,    .61,     .2,   -.51,   52.1,   76.6,
      108,      00,   195006,   2.29,   56.4,   1.46,   1.46,   1.03,   1.14,     13,    193,    .84,   -.37,   -.53,   1.33,    .71,     .5,    .27,   43.6,   69.1,
      103,      00,   195006,   5.17,   70.5,   3.46,   3.46,   1.69,   3.46,    165,     29,    .78,     .5,    .34,   2.05,   2.11,   1.77,   1.76,   59.3,   81.8,
      107,      00,   195007,   2.85,   70.8,     -2,     -2,   2.62,   -.88,    293,     34,   1.72,   1.14,    .39,   -.78,   -.91,   -.98,   -.29,   57.3,   84.3,
      102,      00,   195007,   4.31,   66.3,   2.54,   2.54,   2.47,   2.54,    119,     42,     .8,    .48,    .47,    .68,     .9,   -.01,   -.28,   54.5,   78.1,
      109,      00,   195007,    .45,   74.4,  -1.75,  -1.75,    .27,  -1.56,    250,      2,    .76,    .19,   -.34,   -.58,   -.61,   -.92,  -1.25,   59.1,   89.6,
      103,      00,   195007,   4.95,   71.9,   3.88,   3.88,   2.32,   3.88,    209,     11,    .87,   1.01,    .75,    .75,   1.84,   1.91,   1.87,   61.1,   82.8,
      101,      00,   195007,   3.77,   67.4,   -.55,  -1.58,    .13,   -.72,    173,     11,   -.18,   -.17,   -.57,   -.39,   -.38,   -.69,  -1.01,   55.9,     79,
      106,      00,   195007,   6.03,   78.4,   2.88,   2.88,   5.05,   2.88,    460,      1,   2.63,   1.56,   1.63,    .97,    .47,    .76,   1.14,   67.8,   88.9,
      108,      00,   195007,    .63,   64.3,   1.36,   1.36,    .17,   1.06,     66,     86,    .09,    .65,   -.38,    .62,    .77,    .55,    .18,     49,   79.6,
      104,      00,   195007,   7.87,     77,      1,   -.86,   2.99,    .57,    382,      0,   1.48,    .51,    .63,   -.37,  -1.04,   -.44,     .7,     67,     87,
      105,      00,   195007,   2.44,   64.7,   1.95,   1.95,   2.81,   1.95,    120,     85,     .7,    -.1,    -.2,   -.17,   -.13,   -.11,   -.42,   51.1,   78.4,
      104,      00,   195008,   4.51,   76.6,    .87,    -.8,   -.08,    .56,    370,      0,    -.5,    .66,     .1,   -.13,   -.97,  -1.12,    .57,   65.5,   87.7,
      107,      00,   195008,    .87,   69.5,   -2.9,   -2.9,  -3.32,   -2.9,    277,     44,  -1.88,   -.17,   -.35,  -1.42,  -1.28,  -1.19,   -.49,   53.6,   85.5,
      106,      00,   195008,   3.87,   77.8,   3.86,   3.86,   3.85,   3.86,    459,      3,   1.02,   2.67,    1.9,   1.03,   1.28,    .98,   1.28,   65.9,   89.7,
      109,      00,   195008,    .08,   72.6,  -1.96,  -1.96,  -1.15,  -1.96,    212,      7,  -1.36,   -.31,   -.46,   -.48,   -.55,   -.98,  -1.31,   55.8,   89.4,
      103,      00,   195008,   4.57,     70,   4.44,   4.44,   2.89,   4.44,    164,     26,      1,   1.36,   1.44,    .58,   3.09,   2.21,   2.21,     59,     81,
      102,      00,   195008,   2.36,   63.3,   -.34,   1.94,  -1.02,   1.44,     84,     86,  -1.15,   -.24,   -.28,    .07,     .6,    .02,   -.28,   51.3,   75.3,
      105,      00,   195008,   1.77,   63.6,   2.37,   2.37,   1.87,   2.37,     98,     96,    .14,    .54,   -.07,   -.06,    .15,    .12,   -.36,   48.9,   78.4,
      101,      00,   195008,   4.16,     66,   -.19,  -1.12,     .9,      0,    139,     23,     .4,    .02,   -.05,   -.52,   -.13,   -.54,   -.88,   54.3,   77.6,
      108,      00,   195008,    .78,   64.2,   1.19,   1.19,   -.09,    .79,     75,     72,    .24,    .06,    .56,     .4,    .84,    .61,    .15,   48.4,   80.1,
      101,      00,   195009,   3.12,   56.5,   -.22,  -1.05,   -.13,   -.01,     16,    172,   -.34,   -.06,   -.26,   -.82,   -.17,   -.67,   -.58,   46.5,   66.5,
      102,      00,   195009,   2.51,   58.5,   -.61,   1.44,   -.91,     .5,     20,    187,   -.62,  -1.27,   -.54,   -.24,    .26,    .15,    -.1,   46.9,     70,
      103,      00,   195009,   4.05,   64.8,    4.7,    4.7,   2.13,    4.7,     69,     96,    .55,    .94,    1.2,    .99,   2.59,   2.54,   2.33,   54.6,   75.1,
      108,      00,   195009,   1.13,   56.9,    .88,    .88,   -.57,     .2,     15,    196,   -.23,   -.18,   -.22,   -.64,   1.12,     .6,    .01,   42.8,   71.1,
      104,      00,   195009,   5.22,   71.7,   1.37,   1.37,   1.78,   1.37,    248,     18,    .59,    .05,     .9,    .05,   -.59,   -.87,    .53,   61.9,   81.6,
      105,      00,   195009,   2.24,   55.7,   2.97,   2.97,   2.53,   2.97,     34,    250,   1.03,    .83,    .99,    .09,    .48,    .57,    .01,   42.8,   68.5,
      109,      00,   195009,    .63,     65,    .16,  -1.59,    .48,   -1.3,     99,     47,    .65,   -.14,    .13,   -.54,   -.17,   -.82,  -1.24,   51.1,     79,
      106,      00,   195009,   3.54,   72.5,   3.87,   3.87,   1.21,   3.87,    307,     14,    .36,    .86,   2.28,   1.42,   1.33,   1.08,   1.64,   61.7,   83.3,
      107,      00,   195009,   1.48,   62.3,  -2.43,  -2.43,    .54,  -2.14,    149,    142,     .2,  -1.34,    .02,    -.9,  -1.21,  -1.23,   -.27,   48.1,   76.6,
      106,      00,   195010,      1,   67.5,   -.74,   2.73,  -2.21,   1.81,    183,     41,  -1.52,   -.62,   -.14,    .94,    .63,    .27,   1.55,   53.3,   81.6,
      108,      00,   195010,   6.01,   47.3,   2.39,   2.39,   4.81,   2.39,      0,    490,   2.58,   2.18,      2,   1.36,   1.65,   1.43,    .67,   37.9,   56.7,
      101,      00,   195010,    2.6,   50.7,   -.61,  -1.36,  -1.25,   -.63,      4,    343,   -.53,   -.76,   -.48,   -.78,   -.64,    -.6,   -.68,   39.7,   61.6,
      104,      00,   195010,   3.75,     66,    1.6,    1.6,    1.1,    1.6,    158,     86,     .5,     .7,    .29,    .63,   -.18,   -.82,    .61,   54.9,   77.1,
      107,      00,   195010,    .27,   58.8,  -3.29,  -3.29,  -3.35,  -3.29,    116,    212,  -1.75,   -.82,  -1.84,  -1.14,   -1.7,  -1.84,   -.49,   41.8,   75.8,
      102,      00,   195010,   1.64,     51,  -1.07,    .77,  -1.57,   -.81,      8,    392,   -.72,   -.95,  -1.45,    -.7,   -.34,   -.13,   -.05,   39.5,   62.6,
      105,      00,   195010,    .99,   48.2,   2.43,   2.43,   -.72,   2.07,      6,    455,   -.43,    .47,    .45,    .08,    .09,    .09,    .04,   34.6,   61.8,
